Filename,alert_type,Frame_Number,Id,label,Class,FrontDetected,SideDetected,RearDetected,InTraffic,InTheSameLane,MovingSideWays,Rotation,AbsAngle,AngleToCloserSide,AngleFromTop,AngleFromHorizon,Distance,DistanceY,DistanceX,VectorToSide,BoxBottom,BoxTop,BoxArea,AreaRatio8Frames,AreaRatio4Frames,MedianDistance,MedianDistanceX,MedianDistanceY,AbsMedianAngle,MedianVelocity,MedianAngularVelocity,AnglesSTD,DistancesSTD,BoxAreaSTD,VelocitySTD,DistanceXInCollision,PredictedX,MaxMinDist8Frames,MaxMinBoxArea8Frames,MaxMinAngle8Frames,DistanceOverArea,TimeToCollision,TimeToCollisionFullSeries,TimeToScreenBottom,TimeToCollisionBoxArea,TimeToCollisionBoxAreaFullSeries,DistancesFit.Intercept,DistancesFit.Slope,YFit.Intercept,YFit.Slope,AbsXFit.Intercept,AbsXFit.Slope,AbsAnglesFit.Intercept,AbsAnglesFit.Slope,AbsAnglesToCloserSideFit.Intercept,AbsAnglesToCloserSideFit.Slope,AbsAnglesToFurtherSideFit.Intercept,AbsAnglesToFurtherSideFit.Slope,AbsAngularVelocityFit.Intercept,AbsAngularVelocityFit.Slope,BoxAreasFit.Intercept,BoxAreasFit.Slope,BoxBottomFit.Intercept,BoxBottomFit.Slope,BoxWidthsFit.Intercept,BoxWidthsFit.Slope,BoxHeightsFit.Intercept,BoxHeightsFit.Slope,RotationsFit.Intercept,RotationsFit.Slope,VelocityFit.Intercept,VelocityFit.Slope,DistancesSlopeOverSTD,AngleSlopeOverSTD,BoxAreaSlopeOverSTD,XFitRadius,BoxRight,BoxLeft,DistanceFromClosestCornerPower,DistanceFromClosestCorner,BoxCenterMovementInX,BoxCenterMovementInY,BoxCenterNormalizedMovementInX,PhysicalRotation
Safe_Distance_01_Lane_Splitting.mp4,Safe_Distance,102,572,1,1,0,0,0,1,1,0,3.017,7.164,-29.72,1.454,1.07,2.88,2.858,0.359,-1.428,62.413,2.472,35.929,1.094,1.018,3.01,0.309,2.994,5.899,-0.074,2.489,3.698,0.147,1.795,0.008,5.92,0.614,0.42,4.975,9.516,0.08,86.389,44.578,0,-7.981,-3.993,3.225,-0.061,0.072,0.068,0.072,0.068,1.188,1.346,28.56,0.196,31.033,1.819,3.101,-0.204,31.975,0.749,0.605,0.004,0.265,0.006,0.566,0.006,3.117,-0.01,-0.074,0,0.011,4.664,1.556,1.838,67.384,37.931,190610480,1438.865,0.087,0.008,-0.001,3.142
Safe_Distance_01_Lane_Splitting.mp4,Safe_Distance,103,572,1,1,0,0,0,1,1,0,3.017,7.164,-29.72,1.414,0.967,2.88,2.858,0.359,-1.428,62.413,2.472,35.929,1.094,1.018,3.01,0.309,2.994,5.899,-0.073,2.331,3.698,0.147,1.795,0.009,5.92,0.614,0.42,4.975,9.516,0.08,86.389,44.578,0,-7.981,-3.993,3.225,-0.061,0.072,0.068,0.072,0.068,1.188,1.346,28.56,0.196,31.033,1.819,3.044,-0.204,31.975,0.749,0.605,0.004,0.265,0.006,0.566,0.006,3.117,-0.01,-0.08,0.002,0.011,4.664,1.556,1.838,67.384,37.931,177372624,1438.856,0.087,0.008,-0.001,3.142
Safe_Distance_01_Lane_Splitting.mp4,Safe_Distance,104,572,1,1,0,0,0,1,1,0,3.017,7.164,-29.72,1.377,0.895,2.88,2.858,0.359,-1.428,62.413,2.472,35.929,1.094,1.018,3.01,0.309,2.994,5.899,-0.073,1.961,3.698,0.147,1.795,0.009,5.92,0.614,0.42,4.975,9.516,0.08,86.389,44.578,0,-7.981,-3.993,3.225,-0.061,0.072,0.068,0.072,0.068,1.188,1.346,28.56,0.196,31.033,1.819,2.747,-0.225,31.975,0.749,0.605,0.004,0.265,0.006,0.566,0.006,3.117,-0.01,-0.087,0.004,0.011,4.664,1.556,1.838,67.384,37.931,164370832,1438.847,0.087,0.008,-0.001,3.142
Safe_Distance_01_Lane_Splitting.mp4,Safe_Distance,105,572,1,1,0,0,0,0,1,0,3.017,7.164,-29.72,1.343,0.842,2.88,2.858,0.359,-1.428,62.413,2.472,35.929,1.094,1.018,3.01,0.309,2.994,5.899,-0.067,1.547,3.698,0.147,1.795,0.01,5.92,0.614,0.42,4.975,9.516,0.08,86.389,44.578,0,-7.981,-3.993,3.225,-0.061,0.072,0.068,0.072,0.068,1.188,1.346,28.56,0.196,31.033,1.819,2.294,-0.213,31.975,0.749,0.605,0.004,0.265,0.006,0.566,0.006,3.117,-0.01,-0.081,0.004,0.011,4.664,1.556,1.838,67.384,37.931,151649824,1438.838,0.087,0.008,-0.001,3.142
Safe_Distance_01_Lane_Splitting.mp4,Safe_Distance,190,573,1,0,0,0,1,0,1,0,3.142,4.801,-24.703,1.51,1.248,2.874,2.864,0.241,-1.201,60.852,35.074,6.645,1.054,1.074,3.399,0.058,3.399,0.963,-0.022,0.739,2.263,0.211,0.297,0.043,0.61,0.118,0.688,0.948,6.765,0.432,20.532,45.875,0,-7.997,-3.984,3.635,-0.067,0.196,-0.039,0.196,-0.039,3.36,-0.685,0.114,-0.058,1.881,-0.322,0.759,-0.006,5.67,0.031,0.601,-0.001,0.23,0,0.238,0.001,3.142,0,0.042,-0.018,0.015,1.401,0.003,0.654,63.829,39.87,240714960,1589.789,0.027,-0.017,0.006,3.058
Safe_Distance_01_Lane_Splitting.mp4,Safe_Distance,191,573,1,0,0,0,1,0,1,0,3.142,7.934,-23.616,1.479,1.124,2.68,2.655,0.37,-1.074,61.673,34.801,7.221,1.112,1.188,3.329,0.058,3.328,0.963,-0.038,0.678,3.26,0.283,0.525,0.044,0.038,0.009,0.839,1.517,9.897,0.371,12.36,27.401,0,-7.995,-3.943,3.694,-0.104,0.097,-0.011,0.097,-0.011,1.685,-0.206,2.049,-0.418,0.632,0.075,0.698,-0.006,5.64,0.05,0.599,0,0.23,0,0.237,0.001,3.142,0,0.028,-0.019,0.032,0.129,0.007,0.057,65.435,40.574,239516416,1646.375,-0.022,-0.003,0.008,3.003
Safe_Distance_01_Lane_Splitting.mp4,Safe_Distance,192,573,1,0,0,0,1,0,1,0,3.142,9.443,-23.406,1.466,1.081,2.544,2.509,0.417,-1.01,62.182,34.556,7.632,1.184,1.189,3.228,0.058,3.226,0.963,-0.047,0.639,4.199,0.335,0.713,0.046,0.483,0.304,0.933,1.925,11.407,0.333,11.302,19.009,0,-7.966,-3.942,3.708,-0.137,-0.132,0.054,0.132,-0.054,3.82,-1.367,3.577,-0.825,6.848,-2.243,0.851,-0.061,4.86,0.279,0.586,0.004,0.223,0.003,0.222,0.005,3.142,0,0.021,-0.02,0.053,5.073,0.209,1.204,66.284,40.792,236086000,1664.102,-0.08,0.013,0.011,2.977
Safe_Distance_01_Lane_Splitting.mp4,Safe_Distance,193,573,1,0,0,0,1,0,1,0,3.142,14.681,-20.235,1.391,0.875,2.389,2.311,0.605,-0.826,62.788,33.954,8.314,1.283,1.15,3.022,0.117,3.016,2.353,-0.06,0.639,5.826,0.374,0.929,0.05,1.239,0.597,1.036,2.554,16.644,0.287,14.033,14.071,0,-7.949,-3.95,3.592,-0.163,-0.255,0.106,0.255,-0.106,5.693,-2.299,30.395,-8.034,36.575,-11.164,1.756,-0.319,4.809,0.41,0.584,0.005,0.215,0.006,0.223,0.008,3.142,0,0.015,-0.021,0.073,15.098,0.462,4.6,68.683,42.284,232810528,1788.081,-0.158,0.031,0.014,2.885
Safe_Distance_01_Lane_Splitting.mp4,Safe_Distance,194,573,1,0,0,0,1,0,1,1,3.142,17.606,-18.695,1.356,0.808,2.314,2.206,0.7,-0.742,63.254,33.486,8.862,1.328,1.156,2.777,0.305,2.759,6.368,-0.086,0.439,7.08,0.385,1.114,0.05,1.869,0.844,1.059,3.062,19.57,0.261,16.565,12.381,0,-7.942,-3.955,3.353,-0.165,-0.114,0.12,0.114,-0.12,4.86,-3.208,4.44,-6.83,4.349,-10.918,2.491,-0.586,5.178,0.502,0.592,0.006,0.219,0.007,0.23,0.009,3.142,0,-0.012,-0.021,0.074,28.44,0.692,5.745,70.113,43.006,229492528,1849.602,-0.187,0.032,0.015,2.834
Safe_Distance_01_Lane_Splitting.mp4,Safe_Distance,195,573,1,0,0,0,1,0,1,1,3.142,19.34,-18.004,1.359,0.802,2.259,2.131,0.748,-0.698,63.62,33.122,9.301,1.336,1.139,2.612,0.394,2.582,8.688,-0.121,-0.58,7.638,0.364,1.231,0.048,3.11,0.957,1.026,3.474,21.303,0.243,25.187,12.549,0,-7.941,-3.958,3.148,-0.153,-0.045,0.125,0.045,-0.125,2.587,-3.222,20.968,-0.429,24.506,3.432,1.879,-0.703,5.513,0.547,0.598,0.006,0.226,0.007,0.239,0.01,3.142,0,-0.05,-0.02,0.066,28.95,0.844,6.276,71.015,43.349,240121056,1879.28,-0.194,0.026,0.014,2.804
